CODE,Sales_Date,Id_Producto,Customer_ID,PVP,MOTIVO_VENTA,FORMA_PAGO,EXTENSION_GARANTIA,SEGURO_BATERIA_LARGO_PLAZO,MANTENIMIENTO_GRATUITO,FIN_GARANTIA,BASE_DATE,EN_GARANTIA,COSTE_VENTA_NO_IMPUESTOS,GENERO,CODIGO_POSTAL,Edad,RENTA_MEDIA_ESTIMADA,ENCUESTA_CLIENTE_ZONA_TALLER,STATUS_SOCIAL,Modelo,TIPO_CARROCERIA,Fuel,TRANSMISION_ID,Equipamiento,Kw,Revisiones,Km_medio_por_revision,km_ultima_revision,QUEJA,Lead_compra,Lead_compra_1,TIENDA_DESC,PROV_DESC,ZONA,Origen,Margen_eur_bruto,Margen_eur
SYN000000,22/02/2024,PA200044,103388,19614,No Particular,Contado,"SI, Financiera",NO,0,21/02/2028,31/12/2023,SI,1251,M,CP41020,52,24740,94,I,B,TIPO1,HÍBRIDO,M,Mid-High,85,0,0,0,,0,0,MADRID NORTE,MADRID,CENTRO,Tienda,5113.37,2062.86
SYN000001,22/01/2024,PA200083,104463,22581,Particular,Contado,NO,SI,0,21/01/2028,31/12/2023,SI,1193,M,CP40463,45,18462,96,K,D,TIPO1,HÍBRIDO,M,Low,86,0,0,0,,0,0,MADRID SUR,MADRID,CENTRO,Internet,5886.87,-907.83
SYN000002,22/01/2024,PA200062,104731,13797,Particular,Contado,NO,NO,0,21/01/2028,31/12/2023,SI,1225,M,CP36205,41,27476,1,E,A,TIPO1,HÍBRIDO,M,Mid-High,48,0,0,0,,0,0,MADRID ESTE,MADRID,CENTRO,Tienda,3051.9,486.93
SYN000003,23/01/2024,PA200089,102250,26002,Particular,Financiera Marca,"SI, Financiera",NO,0,22/01/2028,31/12/2023,SI,1521,M,CP20120,74,28669,8,G,I,TIPO7,HÍBRIDO,M,Mid-High,106,0,0,0,,0,0,SEVILLA,SEVILLA,SUR,Internet,8832.88,5007.72
SYN000004,18/01/2024,PA200076,99832,19614,Particular,Otros,NO,NO,0,17/01/2028,31/12/2023,SI,951,M,CP12006,32,29243,94,D,B,TIPO1,HÍBRIDO,M,Mid-High,85,0,0,0,,0,0,MADRID NORTE,MADRID,CENTRO,Internet,5113.37,2362.86
SYN000005,12/02/2024,PA200042,105959,34332,Particular,Otros,SI,SI,0,11/02/2028,31/12/2023,SI,2257,M,CP28007,76,33423,156,D,D,TIPO8,HÍBRIDO,M,Mid,115,0,0,0,,0,0,MADRID NORTE,MADRID,CENTRO,Tienda,8950.35,-1693.33
SYN000006,06/02/2024,PA200028,101126,20671,No Particular,Contado,"SI, Financiera",NO,0,05/02/2028,31/12/2023,SI,1016,M,CP17255,51,24969,128,C,H,TIPO7,HÍBRIDO,M,Mid,85,0,0,0,,1,1,MADRID SUR,MADRID,CENTRO,Internet,6858.64,693.61
SYN000007,19/02/2024,PA200010,87490,36634,Particular,Contado,NO,NO,0,18/02/2028,31/12/2023,SI,994,M,CP28922,44,0,0,,I,TIPO7,ELÉCTRICO,A,Mid,124,0,0,0,,0,0,BARCELONA SUR,BARCELONA,ESTE,Internet,12444.57,8306.48
SYN000008,08/01/2024,PA200081,103221,36634,No Particular,Financiera Marca,NO,NO,4,07/01/2028,31/12/2023,SI,1399,M,CP8330,40,27324,14,G,I,TIPO7,ELÉCTRICO,A,Mid,124,0,0,0,,0,0,MALAGA,MALAGA,SUR,Internet,12444.57,7901.48
SYN000009,22/03/2024,PA200082,100642,13693,Particular,Contado,NO,SI,0,21/03/2028,31/12/2023,SI,518,F,CP48006,46,33690,155,A,A,TIPO1,HÍBRIDO,M,Mid-High,48,0,0,0,,0,0,MADRID OESTE,MADRID,CENTRO,Internet,3028.89,1179.14
SYN000010,14/01/2024,PA200075,104367,20089,Particular,Contado,NO,SI,0,13/01/2028,31/12/2023,SI,951,M,CP28807,33,27803,98,B,B,TIPO6,HÍBRIDO,M,Mid-High,85,0,0,0,,0,0,MADRID OESTE,MADRID,CENTRO,Tienda,5237.2,2449.17
SYN000011,02/01/2024,PA200082,107439,18261,Particular,Financiera Marca,"SI, Financiera",NO,0,01/01/2028,31/12/2023,SI,1403,F,CP35013,24,0,0,,H,TIPO7,HÍBRIDO,M,Mid-High,85,0,0,0,,0,0,MALAGA,MALAGA,SUR,Internet,6059.0,78.14
SYN000012,26/02/2024,PA200051,108341,27147,Particular,Contado,NO,NO,0,25/02/2028,31/12/2023,SI,0,M,CP46841,32,24771,114,H,D,TIPO1,HÍBRIDO,M,Mid,99,0,0,0,,0,0,BARCELONA NORTE,BARCELONA,ESTE,Tienda,7077.22,393.38
SYN000013,21/03/2024,PA200042,105760,29956,No Particular,Contado,SI,NO,0,20/03/2028,31/12/2023,SI,0,M,CP17244,26,25667,12,H,D,TIPO6,HÍBRIDO,M,Mid,115,0,0,0,,0,0,BARCELONA SUR,BARCELONA,ESTE,Tienda,7809.53,459.96
SYN000014,06/03/2024,PA200037,100322,33404,Particular,Contado,SI,NO,0,05/03/2028,31/12/2023,SI,3360,M,CP28660,50,30066,11,D,J,TIPO7,HÍBRIDO,M,Mid,183,0,0,0,,0,0,MADRID ESTE,MADRID,CENTRO,Tienda,1319.46,-10207.29
SYN000015,13/02/2024,PA200023,102629,30330,Particular,Financiera Marca,NO,NO,4,12/02/2028,31/12/2023,SI,1439,M,CP39470,44,22758,65,H,I,TIPO7,HÍBRIDO,M,Mid,106,0,0,0,,0,0,MADRID ESTE,MADRID,CENTRO,Internet,10303.1,6218.03
SYN000016,06/01/2024,PA200064,102096,19472,No Particular,Contado,NO,SI,0,05/01/2028,31/12/2023,SI,2284,F,CP12540,35,25524,15,H,B,TIPO1,HÍBRIDO,M,Mid,81,0,0,0,,0,0,MADRID SUR,MADRID,CENTRO,Tienda,5076.35,1004.06
