Customer_ID,GENERO,Edad,CODIGO_POSTAL,RENTA_MEDIA_ESTIMADA,STATUS_SOCIAL,ZONA,PROV_DESC,TIENDA_DESC
32326,F,33,CP30001,0,,NORTE,LA CORUÑA,LA CORUÑA
97458,F,45,CP41013,0,,ESTE,BARCELONA,BARCELONA NORTE
5032,M,42,CP36206,23330,E,SUR,SEVILLA,SEVILLA
48994,F,59,CP43005,23948,G,CENTRO,MADRID,MADRID OESTE
46316,M,54,CP29738,0,J,CENTRO,MADRID,MADRID OESTE
40917,M,57,CP8912,27325,B,SUR,MALAGA,MALAGA
88483,M,48,CP28008,29137,A,CENTRO,MADRID,MADRID NORTE
57907,M,53,CP48901,23760,G,CENTRO,MADRID,MADRID OESTE
91061,F,43,CP28229,37748,A,CENTRO,MADRID,MADRID SUR
67419,F,59,CP28033,31940,E,CENTRO,MADRID,MADRID SUR
32075,M,60,CP8022,36179,A,ESTE,BARCELONA,BARCELONA NORTE
19077,M,52,CP28030,25082,E,CENTRO,MADRID,MADRID OESTE
79868,M,40,CP6400,24361,I,CENTRO,MADRID,MADRID OESTE
23516,M,58,CP11130,22651,D,CENTRO,MADRID,MADRID NORTE
45686,F,52,CP8240,0,C,ESTE,BARCELONA,BARCELONA CENTRO
36594,F,48,CP3180,29957,F,ESTE,BARCELONA,BARCELONA CENTRO
35398,M,56,CP4006,0,,CENTRO,MADRID,MADRID OESTE
93567,F,56,CP3202,30405,,CENTRO,MADRID,MADRID SUR
88447,F,36,CP8204,27491,G,NORTE,BILBAO,BILBAO
54079,M,55,CP3540,25067,C,CENTRO,MADRID,MADRID NORTE
29133,M,57,CP36207,24730,E,ESTE,BARCELONA,BARCELONA NORTE
91585,M,49,CP38007,22718,H,SUR,MALAGA,MALAGA
83048,M,44,CP50130,0,,CENTRO,MADRID,MADRID NORTE
95008,F,48,CP2130,18484,K,SUR,SEVILLA,SEVILLA
89415,M,37,CP30002,33589,A,CENTRO,MADRID,MADRID NORTE
90239,F,54,CP39180,25779,H,ESTE,BARCELONA,BARCELONA CENTRO
97395,F,48,CP7006,27703,F,ESTE,BARCELONA,BARCELONA NORTE
52840,M,30,CP8916,29027,D,NORTE,LA CORUÑA,LA CORUÑA
43826,M,26,CP28830,27450,E,ESTE,BARCELONA,BARCELONA NORTE
45761,F,25,CP14011,25763,D,CENTRO,MADRID,MADRID NORTE
