CODE,Id_Producto,Modelo,TIPO_CARROCERIA,Fuel,TRANSMISION_ID,Equipamiento,Kw,EXTENSION_GARANTIA,EN_GARANTIA,MANTENIMIENTO_GRATUITO
ID22371,PA100006,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID22373,PA100006,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID22380,PA100006,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID22386,PA100006,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID22388,PA100006,A,TIPO1,HÍBRIDO,M,Low,53,NO,NO,0
ID22393,PA100006,A,TIPO1,HÍBRIDO,M,Low,53,SI,SI,0
ID22438,PA100006,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID22458,PA100006,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID22483,PA100006,A,TIPO1,HÍBRIDO,M,Low,53,NO,NO,0
ID22502,PA100006,A,TIPO1,HÍBRIDO,M,Low,53,NO,NO,0
ID22367,PA100006,A,TIPO1,HÍBRIDO,M,Low,53,SI,SI,0
ID22369,PA100006,A,TIPO1,HÍBRIDO,M,Low,53,NO,NO,0
ID22378,PA100006,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID22381,PA100006,A,TIPO1,HÍBRIDO,M,Low,53,SI,NO,0
ID22383,PA100006,A,TIPO1,HÍBRIDO,M,Low,53,NO,NO,0
ID22385,PA100006,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID22389,PA100006,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID22390,PA100006,A,TIPO1,HÍBRIDO,M,Low,53,NO,NO,0
ID22396,PA100006,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID22398,PA100006,A,TIPO1,HÍBRIDO,M,Low,53,NO,NO,0
ID22400,PA100006,A,TIPO1,HÍBRIDO,M,Low,53,SI,SI,0
ID22402,PA100006,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID22406,PA100006,A,TIPO1,HÍBRIDO,M,Low,53,NO,NO,0
ID22411,PA100006,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID22440,PA100006,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID22477,PA100006,A,TIPO1,HÍBRIDO,M,Low,53,NO,NO,0
ID22516,PA100006,A,TIPO1,HÍBRIDO,M,Low,53,SI,SI,0
ID22523,PA100006,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID26371,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,NO,0
ID26373,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,SI,SI,0
ID26375,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID26380,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID26386,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,NO,0
ID26391,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID26401,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,NO,0
ID26414,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
ID26429,PA100024,A,TIPO1,HÍBRIDO,M,Low,53,NO,SI,0
