CODE,Customer_ID,Revisiones,Km_medio_por_revision,km_ultima_revision,DAYS_LAST_SERVICE,QUEJA,Churn_400,Churn_bin,FLAG_SIN_REVISION
ID22371,70426,1,27241,27241,117.0,,N,0,0
ID22373,53124,0,0,0,,,N,0,1
ID22380,39623,0,0,0,,SI,N,0,1
ID22386,46920,0,0,0,,,N,0,1
ID22388,21337,2,39030,78060,619.0,NO,Y,1,0
ID22393,92779,0,0,0,,,N,0,1
ID22438,7282,0,0,0,,,N,0,1
ID22458,29813,2,30704,61408,119.0,,N,0,0
ID22483,81789,2,19453,38906,582.0,,Y,1,0
ID22502,69939,0,0,0,,,N,0,1
ID22367,24777,0,0,0,,,N,0,1
ID22369,22722,1,43096,43096,1232.0,,N,0,0
ID22378,13928,2,32868,65736,218.0,,N,0,0
ID22381,68685,0,0,0,,,N,0,1
ID22383,94344,3,38297,114891,173.0,,N,0,0
ID22385,97143,0,0,0,,,N,0,1
ID22389,29745,0,0,0,,,N,0,1
ID22390,55293,1,15294,15294,1067.0,,N,0,0
ID22396,17148,0,0,0,,,N,0,1
ID22398,68170,3,40572,121716,505.0,,Y,1,0
ID22400,98788,1,44189,44189,520.0,NO,Y,1,0
ID22402,62645,1,20319,20319,243.0,,N,0,0
ID22406,14534,0,0,0,,,N,0,1
ID22411,88035,0,0,0,,,N,0,1
ID22440,37500,0,0,0,,,N,0,1
ID22477,68696,2,51718,103436,690.0,,Y,1,0
ID22516,93833,0,0,0,,,N,0,1
ID22523,59591,0,0,0,,,N,0,1
ID26371,32782,4,53752,215008,88.0,,N,0,0
ID26373,41184,1,43142,43142,7.0,,N,0,0
ID26375,28042,0,0,0,,NO,N,0,1
ID26380,69373,0,0,0,,,N,0,1
ID26386,98625,4,28662,114648,38.0,,N,0,0
ID26391,52642,0,0,0,,NO,N,0,1
ID26401,18146,1,16929,16929,1271.0,,N,0,0
ID26414,7094,0,0,0,,NO,N,0,1
ID26429,24180,0,0,0,,SI,N,0,1
ID26432,2529,0,0,0,,NO,N,0,1
ID26434,28777,1,15796,15796,1062.0,,N,0,0
ID26436,77568,1,43720,43720,211.0,SI,N,0,0
ID26476,10904,0,0,0,,,N,0,1
ID26478,52813,3,33589,100767,347.0,,N,0,0
ID26485,26929,0,0,0,,SI,N,0,1
ID26506,99815,1,34327,34327,590.0,NO,Y,1,0
ID26519,45710,0,0,0,,,N,0,1
ID26548,34365,0,0,0,,,N,0,1
ID26551,26609,2,50592,101184,957.0,,Y,1,0
ID26553,79562,1,43776,43776,1083.0,,N,0,0
ID26365,28364,1,49591,49591,10.0,SI,N,0,0
ID26367,33494,0,0,0,,,N,0,1
ID26376,15988,0,0,0,,NO,N,0,1
ID26378,79964,3,52946,158838,170.0,,N,0,0
ID26383,34030,1,23940,23940,347.0,NO,N,0,0
ID26385,66496,2,20597,41194,107.0,NO,N,0,0
ID26387,59290,0,0,0,,,N,0,1
