CODE,Sales_Date,Id_Producto,Customer_ID,PVP,MOTIVO_VENTA,FORMA_PAGO,EXTENSION_GARANTIA,SEGURO_BATERIA_LARGO_PLAZO,MANTENIMIENTO_GRATUITO,FIN_GARANTIA,BASE_DATE,EN_GARANTIA,COSTE_VENTA_NO_IMPUESTOS,GENERO,CODIGO_POSTAL,Edad,RENTA_MEDIA_ESTIMADA,ENCUESTA_CLIENTE_ZONA_TALLER,STATUS_SOCIAL,Modelo,TIPO_CARROCERIA,Fuel,TRANSMISION_ID,Equipamiento,Kw,Revisiones,Km_medio_por_revision,km_ultima_revision,QUEJA,Lead_compra,Lead_compra_1,TIENDA_DESC,PROV_DESC,ZONA,Origen,Margen_eur_bruto,Margen_eur,tiene_queja,extension_garantia_bin,en_garantia_bin,Margen_pct,FLAG_Margen_Negativo,antiguedad_dias,ratio_rev_antiguedad,FLAG_cliente_nuevo,segmento_antiguedad,FLAG_deberia_haber_revisado,gasto_relativo,satisfaccion_baja,km_alto_pocas_rev,Mantenimiento_medio,Alpha,Categoria_Precio
SYN000000,2024-02-22,PA200044,103388,19614,No Particular,Contado,"SI, Financiera",NO,0,21/02/2028,31/12/2023,SI,1251,M,CP41020,52,24740,94,I,B,TIPO1,HÍBRIDO,M,Mid-High,85,0,0,0,NO,0,0,MADRID NORTE,MADRID,CENTRO,Tienda,5113.37,2062.86,0,1,1,10.52,0,0,0.0,1,Nuevo,0,0.7928051738075991,0,0,263.0,0.07,PREMIUM
SYN000001,2024-01-22,PA200083,104463,22581,Particular,Contado,NO,SI,0,21/01/2028,31/12/2023,SI,1193,M,CP40463,45,18462,96,K,D,TIPO1,HÍBRIDO,M,Low,86,0,0,0,NO,0,0,MADRID SUR,MADRID,CENTRO,Internet,5886.87,-907.83,0,0,1,-4.02,1,0,0.0,1,Nuevo,0,1.2231069223269417,0,0,290.0,0.1,ESTANDAR
SYN000002,2024-01-22,PA200062,104731,13797,Particular,Contado,NO,NO,0,21/01/2028,31/12/2023,SI,1225,M,CP36205,41,27476,1,E,A,TIPO1,HÍBRIDO,M,Mid-High,48,0,0,0,NO,0,0,MADRID ESTE,MADRID,CENTRO,Tienda,3051.9,486.93,0,0,1,3.53,0,0,0.0,1,Nuevo,0,0.5021473285776678,0,0,250.0,0.07,PREMIUM
SYN000003,2024-01-23,PA200089,102250,26002,Particular,Financiera Marca,"SI, Financiera",NO,0,22/01/2028,31/12/2023,SI,1521,M,CP20120,74,28669,8,G,I,TIPO7,HÍBRIDO,M,Mid-High,106,0,0,0,NO,0,0,SEVILLA,SEVILLA,SUR,Internet,8832.88,5007.72,0,1,1,19.26,0,0,0.0,1,Nuevo,0,0.9069726882695595,0,0,371.0,0.1,ESTANDAR
SYN000004,2024-01-18,PA200076,99832,19614,Particular,Otros,NO,NO,0,17/01/2028,31/12/2023,SI,951,M,CP12006,32,29243,94,D,B,TIPO1,HÍBRIDO,M,Mid-High,85,0,0,0,NO,0,0,MADRID NORTE,MADRID,CENTRO,Internet,5113.37,2362.86,0,0,1,12.05,0,0,0.0,1,Nuevo,0,0.670724617857265,0,0,263.0,0.07,PREMIUM
SYN000005,2024-02-12,PA200042,105959,34332,Particular,Otros,SI,SI,0,11/02/2028,31/12/2023,SI,2257,M,CP28007,76,33423,156,D,D,TIPO8,HÍBRIDO,M,Mid,115,0,0,0,NO,0,0,MADRID NORTE,MADRID,CENTRO,Tienda,8950.35,-1693.33,0,1,1,-4.93,1,0,0.0,1,Nuevo,0,1.0271968404990575,0,0,290.0,0.1,ESTANDAR
SYN000006,2024-02-06,PA200028,101126,20671,No Particular,Contado,"SI, Financiera",NO,0,05/02/2028,31/12/2023,SI,1016,M,CP17255,51,24969,128,C,H,TIPO7,HÍBRIDO,M,Mid,85,0,0,0,NO,1,1,MADRID SUR,MADRID,CENTRO,Internet,6858.64,693.61,0,1,1,3.36,0,0,0.0,1,Nuevo,0,0.8278665545276143,0,0,353.0,0.1,ESTANDAR
SYN000007,2024-02-19,PA200010,87490,36634,Particular,Contado,NO,NO,0,18/02/2028,31/12/2023,SI,994,M,CP28922,44,0,0,,I,TIPO7,ELÉCTRICO,A,Mid,124,0,0,0,NO,0,0,BARCELONA SUR,BARCELONA,ESTE,Internet,12444.57,8306.48,0,0,1,22.67,0,0,0.0,1,Nuevo,0,36634.0,1,0,371.0,0.1,ESTANDAR
SYN000008,2024-01-08,PA200081,103221,36634,No Particular,Financiera Marca,NO,NO,4,07/01/2028,31/12/2023,SI,1399,M,CP8330,40,27324,14,G,I,TIPO7,ELÉCTRICO,A,Mid,124,0,0,0,NO,0,0,MALAGA,MALAGA,SUR,Internet,12444.57,7901.48,0,0,1,21.57,0,0,0.0,1,Nuevo,0,1.3407261015956669,0,0,371.0,0.1,ESTANDAR
SYN000009,2024-03-22,PA200082,100642,13693,Particular,Contado,NO,SI,0,21/03/2028,31/12/2023,SI,518,F,CP48006,46,33690,155,A,A,TIPO1,HÍBRIDO,M,Mid-High,48,0,0,0,NO,0,0,MADRID OESTE,MADRID,CENTRO,Internet,3028.89,1179.14,0,0,1,8.61,0,0,0.0,1,Nuevo,0,0.4064410804392995,0,0,250.0,0.07,PREMIUM
