CODE,Customer_ID,Modelo,ZONA,PVP,riesgo,prob_churn,C_n,desc_pct,descuento_eur,coste_marketing,margen_mant,roi_ind
SYN000000,103388,B,CENTRO,19614,MEDIO,0.58603835,235.4,0.08,18.832,2.354,70.62,-0.7951001601438322
SYN000001,104463,D,CENTRO,22581,BAJO,0.049255006,286.0,0.03,8.58,2.86,85.8,39.6484375
SYN000002,104731,A,CENTRO,13797,MEDIO,0.64430916,214.0,0.08,17.12,2.14,64.2,-7.305804215997693
SYN000003,102250,I,SUR,26002,BAJO,0.090892926,396.00000000000006,0.03,11.88,3.960000000000001,118.80000000000001,80.43742405832322
SYN000004,99832,B,CENTRO,19614,MEDIO,0.57010543,235.4,0.08,18.832,2.354,70.62,-0.7951001601438322
SYN000005,105959,D,CENTRO,34332,BAJO,0.01396905,286.0,0.03,8.58,2.86,85.8,39.6484375
SYN000006,101126,H,CENTRO,20671,MEDIO,0.65223247,374.00000000000006,0.08,29.920000000000005,3.7400000000000007,112.20000000000002,34.11427205355011
SYN000007,87490,I,ESTE,36634,MEDIO,0.6429327,396.00000000000006,0.08,31.680000000000007,3.960000000000001,118.80000000000001,38.720224194301714
SYN000008,103221,I,SUR,36634,ALTO,0.7491752,396.00000000000006,0.12,47.52,3.960000000000001,118.80000000000001,17.067402443831288
SYN000009,100642,A,CENTRO,13693,BAJO,0.050539494,214.0,0.03,6.42,2.14,64.2,9.631147540983607
SYN000010,104367,B,CENTRO,20089,BAJO,0.049518436,235.4,0.03,7.062,2.354,70.62,18.856873569408926
SYN000011,107439,H,SUR,18261,MEDIO,0.64193827,374.00000000000006,0.08,29.920000000000005,3.7400000000000007,112.20000000000002,34.11427205355011
SYN000012,108341,D,ESTE,27147,MEDIO,0.5915088,286.0,0.08,22.88,2.86,85.8,13.282281489305522
SYN000013,105760,D,ESTE,29956,MEDIO,0.5913171,286.0,0.08,22.88,2.86,85.8,13.282281489305522
SYN000014,100322,J,CENTRO,33404,MEDIO,0.4979909,418.00000000000006,0.08,33.440000000000005,4.180000000000001,125.4,43.11800958685232
SYN000015,102629,I,CENTRO,30330,ALTO,0.7778911,396.00000000000006,0.12,47.52,3.960000000000001,118.80000000000001,17.067402443831288
SYN000016,102096,B,CENTRO,19472,BAJO,0.047807008,235.4,0.03,7.062,2.354,70.62,18.856873569408926
SYN000017,65885,B,CENTRO,22094,MEDIO,0.65115726,235.4,0.08,18.832,2.354,70.62,-0.7951001601438322
SYN000018,35759,I,ESTE,28667,ALTO,0.7935207,396.00000000000006,0.12,47.52,3.960000000000001,118.80000000000001,17.067402443831288
SYN000019,104862,C,ESTE,23744,MEDIO,0.4095142,264.0,0.08,21.12,2.64,79.2,7.375271149674617
SYN000020,100155,B,SUR,20999,MEDIO,0.6294868,235.4,0.08,18.832,2.354,70.62,-0.7951001601438322
SYN000021,85346,E,CENTRO,22764,MEDIO,0.6263527,308.0,0.08,24.64,3.08,92.39999999999999,18.888317035512088
SYN000022,104326,I,CENTRO,23547,MEDIO,0.53825504,396.00000000000006,0.08,31.680000000000007,3.960000000000001,118.80000000000001,38.720224194301714
SYN000023,104824,H,SUR,23689,MEDIO,0.51502115,374.00000000000006,0.08,29.920000000000005,3.7400000000000007,112.20000000000002,34.11427205355011
SYN000024,105114,I,CENTRO,28453,BAJO,0.09399273,396.00000000000006,0.03,11.88,3.960000000000001,118.80000000000001,80.43742405832322
SYN000025,104382,I,ESTE,33863,MEDIO,0.57641083,396.00000000000006,0.08,31.680000000000007,3.960000000000001,118.80000000000001,38.720224194301714
SYN000026,106901,B,ESTE,17113,MEDIO,0.64790183,235.4,0.08,18.832,2.354,70.62,-0.7951001601438322
SYN000027,103859,A,SUR,13494,MEDIO,0.64430916,214.0,0.08,17.12,2.14,64.2,-7.305804215997693
SYN000028,100074,I,CENTRO,29446,ALTO,0.77538866,396.00000000000006,0.12,47.52,3.960000000000001,118.80000000000001,17.067402443831288
